project_id,week_number,construction_stage,task_type,site_area_sqft,productivity_rate,is_complex_design,floors_completed,req_cement_bags,req_bricks_nos,req_steel_kg,req_sand_tons,req_skilled_labour,req_unskilled_labour
1001,1,1,Rebar_Binding,600,100,0,0,8,0,80.98,2.08,1,1
1001,1,1,Concrete_Pour,600,9,0,0,8,0,80.98,2.08,1,2
1001,1,1,Excavation,600,75,0,0,8,0,80.98,2.08,1,5
1001,2,1,Rebar_Binding,600,100,0,0,27,0,261.1,6.71,1,1
1001,2,1,Concrete_Pour,600,9,0,0,27,0,261.1,6.71,1,2
1001,3,1,Rebar_Binding,600,100,0,0,8,0,84.71,2.18,1,1
1001,3,1,Concrete_Pour,600,9,0,0,8,0,84.71,2.18,1,2
1001,4,2,Brick_Masonry,600,450,0,0,29,217,282.29,7.59,1,2
1001,4,2,Rebar_Binding,600,100,0,0,29,217,282.29,7.59,1,1
1001,4,2,Concrete_Pour,600,9,0,0,29,217,282.29,7.59,1,2
1001,5,2,Brick_Masonry,600,450,0,0,19,208,187.23,5.13,1,2
1001,5,2,Rebar_Binding,600,100,0,0,19,208,187.23,5.13,1,1
1001,5,2,Concrete_Pour,600,9,0,0,19,208,187.23,5.13,1,2
1001,6,3,Brick_Masonry,600,450,0,0,16,1,266.92,1.86,1,2
1001,6,3,Rebar_Binding,600,100,0,0,16,1,266.92,1.86,1,1
1001,6,3,Concrete_Pour,600,9,0,0,16,1,266.92,1.86,1,2
1001,7,3,Rebar_Binding,600,100,0,0,28,0,482.42,3.32,1,1
1001,7,3,Concrete_Pour,600,9,0,0,28,0,482.42,3.32,1,2
1001,8,3,Brick_Masonry,600,450,0,0,25,1,401.48,2.75,1,2
1001,8,3,Rebar_Binding,600,100,0,0,25,1,401.48,2.75,1,1
1001,8,3,Concrete_Pour,600,9,0,0,25,1,401.48,2.75,1,2
1001,9,3,Rebar_Binding,600,100,0,1,15,0,264.36,1.81,1,1
1001,9,3,Concrete_Pour,600,9,0,1,15,0,264.36,1.81,1,2
1001,10,4,Brick_Masonry,600,450,0,1,9,941,68.5,1.59,1,2
1001,10,4,Rebar_Binding,600,100,0,1,9,941,68.5,1.59,1,1
1001,10,4,Concrete_Pour,600,9,0,1,9,941,68.5,1.59,1,2
1001,11,4,Brick_Masonry,600,450,0,1,24,3039,107.81,4.36,2,3
1001,11,4,Rebar_Binding,600,100,0,1,24,3039,107.81,4.36,1,1
1001,11,4,Concrete_Pour,600,9,0,1,24,3039,107.81,4.36,1,2
1001,12,4,Brick_Masonry,600,450,0,1,13,2099,33.33,2.73,1,2
1001,12,4,Concrete_Pour,600,9,0,1,13,2099,33.33,2.73,1,2
1001,13,4,Brick_Masonry,600,450,0,1,7,1102,17.41,1.43,1,2
1001,13,4,Concrete_Pour,600,9,0,1,7,1102,17.41,1.43,1,2
1001,14,5,Brick_Masonry,600,450,0,1,10,630,9.95,2.65,1,2
1001,14,5,Plastering,600,120,0,1,10,630,9.95,2.65,1,2
1001,15,5,Brick_Masonry,600,450,0,1,12,250,3.95,3.52,1,2
1001,15,5,Plastering,600,120,0,1,12,250,3.95,3.52,1,2
1001,16,5,Brick_Masonry,600,450,0,1,4,6,0.09,1.31,1,2
1001,16,5,Plastering,600,120,0,1,4,6,0.09,1.31,1,2
1002,1,1,Rebar_Binding,600,100,0,0,27,0,264.32,6.79,1,1
1002,1,1,Concrete_Pour,600,9,0,0,27,0,264.32,6.79,1,2
1002,1,1,Excavation,600,75,0,0,27,0,264.32,6.79,1,7
1002,2,1,Rebar_Binding,600,100,0,0,19,0,190.62,4.9,1,1
1002,2,1,Concrete_Pour,600,9,0,0,19,0,190.62,4.9,1,2
1002,3,2,Brick_Masonry,600,450,0,0,20,189,198.51,5.4,1,2
1002,3,2,Rebar_Binding,600,100,0,0,20,189,198.51,5.4,1,1
1002,3,2,Concrete_Pour,600,9,0,0,20,189,198.51,5.4,1,2
1002,4,3,Brick_Masonry,600,450,0,0,40,168,542.92,7.29,1,2
1002,4,3,Rebar_Binding,600,100,0,0,40,168,542.92,7.29,2,2
1002,4,3,Concrete_Pour,600,9,0,0,40,168,542.92,7.29,1,2
1002,5,3,Brick_Masonry,600,450,0,0,34,47,536.02,4.68,1,2
1002,5,3,Rebar_Binding,600,100,0,0,34,47,536.02,4.68,1,1
1002,5,3,Concrete_Pour,600,9,0,0,34,47,536.02,4.68,1,2
1002,6,3,Brick_Masonry,600,450,0,1,21,8,346.34,2.54,1,2
1002,6,3,Rebar_Binding,600,100,0,1,21,8,346.34,2.54,1,1
1002,6,3,Concrete_Pour,600,9,0,1,21,8,346.34,2.54,1,2
1002,7,4,Brick_Masonry,600,450,0,1,25,1777,246.23,3.9,1,2
1002,7,4,Rebar_Binding,600,100,0,1,25,1777,246.23,3.9,1,1
1002,7,4,Concrete_Pour,600,9,0,1,25,1777,246.23,3.9,1,2
1002,8,4,Brick_Masonry,600,450,0,1,31,3702,172.41,5.64,2,3
1002,8,4,Rebar_Binding,600,100,0,1,31,3702,172.41,5.64,1,1
