project_id,week_number,site_dimensions,site_area_sqft,construction_stage,floors_completed,total_floors,property_type,work_pace,weather_condition,lost_days,weather_factor,req_cement_bags,req_steel_kg,req_bricks_nos,req_sand_tons
1001,1,20x30,600,1,0,1,1BHK,Normal,Light_Rain,1,0.72,8,80.98,0,2.08
1001,2,20x30,600,1,0,1,1BHK,Normal,Normal,0,1,27,261.1,0,6.71
1001,3,20x30,600,1,0,1,1BHK,Normal,Light_Rain,1,0.72,8,84.71,0,2.18
1001,4,20x30,600,2,0,1,1BHK,Normal,Normal,0,1,29,282.29,217,7.59
1001,5,20x30,600,2,0,1,1BHK,Normal,Normal,0,1,19,187.23,208,5.13
1001,6,20x30,600,3,0,1,1BHK,Normal,Normal,0,1,16,266.92,1,1.86
1001,7,20x30,600,3,0,1,1BHK,Normal,Normal,0,1,28,482.42,0,3.32
1001,8,20x30,600,3,0,1,1BHK,Normal,Normal,0,1,25,401.48,1,2.75
1001,9,20x30,600,3,1,1,1BHK,Normal,Normal,0,1,15,264.36,0,1.81
1001,10,20x30,600,4,1,1,1BHK,Normal,High_Wind,1,0.7,9,68.5,941,1.59
1001,11,20x30,600,4,1,1,1BHK,Normal,Normal,0,1,24,107.81,3039,4.36
1001,12,20x30,600,4,1,1,1BHK,Normal,Normal,0,1,13,33.33,2099,2.73
1001,13,20x30,600,4,1,1,1BHK,Normal,Heatwave,0,0.8,7,17.41,1102,1.43
1001,14,20x30,600,5,1,1,1BHK,Normal,Normal,0,1,10,9.95,630,2.65
1001,15,20x30,600,5,1,1,1BHK,Normal,Normal,0,1,12,3.95,250,3.52
1001,16,20x30,600,5,1,1,1BHK,Normal,High_Wind,1,0.68,4,0.09,6,1.31
1002,1,20x30,600,1,0,1,1BHK,Fast_Track,Normal,0,1,27,264.32,0,6.79
1002,2,20x30,600,1,0,1,1BHK,Fast_Track,Light_Rain,1,0.72,19,190.62,0,4.9
1002,3,20x30,600,2,0,1,1BHK,Fast_Track,Heavy_Rain,2,0.43,20,198.51,189,5.4
1002,4,20x30,600,3,0,1,1BHK,Fast_Track,Normal,0,1,40,542.92,168,7.29
1002,5,20x30,600,3,0,1,1BHK,Fast_Track,Light_Rain,1,0.73,34,536.02,47,4.68
1002,6,20x30,600,3,1,1,1BHK,Fast_Track,Light_Rain,1,0.73,21,346.34,8,2.54
1002,7,20x30,600,4,1,1,1BHK,Fast_Track,Normal,0,1,25,246.23,1777,3.9
1002,8,20x30,600,4,1,1,1BHK,Fast_Track,Normal,0,1,31,172.41,3702,5.64
